"id","class","order","family","genus","species","authority","commonNameEnglish","taxonomyType","uniqueIdentifier"
2018397,"Mammalia","Dasyuromorphia","Dasyuridae","Dasykaluta",NA,NA,"Dasykaluta Species","biological","68fcdff8-5424-4fd3-a920-9dd48e38c7ad"
2018398,"Mammalia","Rodentia","Cricetidae","Bibimys",NA,NA,"Bibimys Species","biological","696e8fd8-fd4e-4745-914e-e8a9d8a306ac"
2018399,"Mammalia","Cetartiodactyla","Bovidae","Bison",NA,NA,"Bison Species","biological","a76bdd55-2666-4b29-bc04-40f4f5679b58"
2018401,"Mammalia","Rodentia","Cricetidae","Blanfordimys",NA,NA,"Blanfordimys Species","biological","f0133edd-d6e1-4d12-84ce-a0c9a71425d8"
2018402,"Mammalia","Eulipotyphla","Soricidae","Blarina",NA,NA,"Blarina Species","biological","123896c1-cf19-44ed-92b7-8cbd73a500d1"
2018403,"Mammalia","Eulipotyphla","Soricidae","Blarinella",NA,NA,"Blarinella Species","biological","6c6bd8ce-36f3-4d56-848b-e8c0329dac6f"
2018404,"Mammalia","Eulipotyphla","Talpidae","Mogera",NA,NA,"Mogera Species","biological","e0276c4c-83e9-4a02-aaad-51306a9f05fd"
2018405,"Aves","Passeriformes","Estrildidae","Granatina",NA,NA,"Granatina Species","biological","dd12cf45-4aa6-444a-a5e3-1b8e41df97cd"
2018406,"Aves","Passeriformes","Estrildidae","Uraeginthus",NA,NA,"Uraeginthus Species","biological","656f62f3-c197-4350-98bc-8873ad6bfc85"
2018408,"Aves","Passeriformes","Estrildidae","Pyrenestes",NA,NA,"Pyrenestes Species","biological","c971124c-3ed9-4641-bd29-be8b1fb3a442"
2018409,"Aves","Passeriformes","Estrildidae","Estrilda",NA,NA,"Estrilda Species","biological","1368dfa4-9593-4686-b95d-db018cc342cc"
